city,state,skill,experience,demand_index,cost_of_living,wage
Bangalore,Karnataka,Electrician,6,0.56,16657,1373.14
Pune,Maharashtra,Electrician,12,1.07,9819,1428.88
Hyderabad,Telangana,Mason,14,1.3,11982,1782.64
Chennai,Tamil Nadu,Painter,3,1.41,12217,1289.84
Hyderabad,Telangana,Electrician,11,1.48,15118,1565.36
Bangalore,Karnataka,Electrician,9,0.57,17249,1488.48
Bangalore,Karnataka,Carpenter,2,1.43,17104,1349.58
Chennai,Tamil Nadu,Carpenter,2,1.27,11346,1178.42
Bangalore,Karnataka,Mason,1,1.46,10933,875.66
Bangalore,Karnataka,Mason,5,1.26,8278,1358.56
Delhi,Delhi,Painter,11,0.59,15793,1687.36
Bangalore,Karnataka,Mason,12,1.42,17389,1776.78
Pune,Maharashtra,Electrician,10,0.59,16284,1350.18
Pune,Maharashtra,Mason,12,0.7,17295,1830.9
Bangalore,Karnataka,Electrician,7,0.98,9106,1110.12
Pune,Maharashtra,Mason,4,1.24,19419,1304.38
Pune,Maharashtra,Painter,10,1.42,15425,1581.5
Delhi,Delhi,Carpenter,9,1.0,15312,1434.24
Hyderabad,Telangana,Painter,12,1.16,19829,1647.58
Chennai,Tamil Nadu,Mason,2,1.38,15743,1377.86
Delhi,Delhi,Electrician,2,1.34,14505,1192.1
Delhi,Delhi,Electrician,13,0.96,14110,1741.2
Hyderabad,Telangana,Mason,13,0.62,14436,1735.72
Bangalore,Karnataka,Painter,15,1.03,15958,1826.66
Chennai,Tamil Nadu,Electrician,6,0.63,9932,1008.14
Delhi,Delhi,Painter,1,1.3,13506,965.12
Hyderabad,Telangana,Mason,9,0.73,19208,1662.66
Delhi,Delhi,Mason,9,1.1,8772,1565.44
Delhi,Delhi,Electrician,2,0.69,19033,1239.16
Pune,Maharashtra,Electrician,4,0.5,11717,1022.34
Chennai,Tamil Nadu,Carpenter,15,0.79,14474,1670.98
Bangalore,Karnataka,Mason,13,0.8,15339,1685.78
Delhi,Delhi,Mason,11,1.33,14282,1664.14
Bangalore,Karnataka,Electrician,10,0.82,14638,1528.76
Pune,Maharashtra,Carpenter,3,1.45,14024,1295.98
Chennai,Tamil Nadu,Carpenter,8,1.22,15394,1493.88
Pune,Maharashtra,Mason,14,1.44,11258,1816.16
Bangalore,Karnataka,Painter,8,0.79,8320,1118.9
Bangalore,Karnataka,Mason,3,0.57,19419,1019.88
Hyderabad,Telangana,Carpenter,12,0.54,11230,1493.6
Bangalore,Karnataka,Mason,13,1.32,12981,1800.62
Pune,Maharashtra,Mason,6,1.06,12629,1401.58
Delhi,Delhi,Carpenter,15,1.06,19596,2009.92
Bangalore,Karnataka,Electrician,4,1.27,16917,1365.84
Delhi,Delhi,Carpenter,11,1.38,18460,1827.2
Delhi,Delhi,Carpenter,8,1.03,10546,1457.42
Delhi,Delhi,Mason,10,1.09,10986,1613.22
Delhi,Delhi,Painter,12,1.08,9340,1550.8
Hyderabad,Telangana,Carpenter,6,0.94,17032,1380.64
Delhi,Delhi,Painter,1,1.4,16885,1108.7
Chennai,Tamil Nadu,Electrician,10,0.61,18432,1562.14
Delhi,Delhi,Painter,12,0.67,17502,1497.54
Pune,Maharashtra,Mason,1,1.37,10463,888.76
Pune,Maharashtra,Mason,6,1.37,13469,1490.88
Pune,Maharashtra,Painter,7,1.42,12620,1524.4
Pune,Maharashtra,Carpenter,8,1.45,16548,1522.46
Bangalore,Karnataka,Mason,8,1.42,13377,1352.54
Pune,Maharashtra,Mason,4,1.26,18798,1356.96
Bangalore,Karnataka,Mason,7,0.78,11396,1052.92
Chennai,Tamil Nadu,Electrician,2,0.87,9732,1035.14
Delhi,Delhi,Electrician,14,0.57,13759,1553.68
Chennai,Tamil Nadu,Painter,6,0.51,16855,1377.6
Pune,Maharashtra,Mason,9,0.86,17410,1472.2
Bangalore,Karnataka,Painter,10,1.32,11263,1609.26
Bangalore,Karnataka,Electrician,10,1.24,16471,1570.42
Pune,Maharashtra,Carpenter,8,0.99,14978,1372.06
Chennai,Tamil Nadu,Painter,8,0.89,18064,1531.78
Delhi,Delhi,Electrician,15,1.16,16093,1936.86
Pune,Maharashtra,Painter,2,1.42,11314,1211.28
Delhi,Delhi,Painter,3,1.31,16325,1132.0
Hyderabad,Telangana,Electrician,3,1.27,17218,1228.86
Pune,Maharashtra,Carpenter,13,0.76,19658,1622.16
Chennai,Tamil Nadu,Carpenter,6,1.37,17459,1478.68
Bangalore,Karnataka,Electrician,3,1.11,12618,1061.86
Chennai,Tamil Nadu,Painter,10,1.24,10513,1651.26
